Period start,Period end,Trading period,Region ID,Region,Demand (GWh)
1/5/14,31/05/2014,N/A,CNI,Central North Island,711.83
1/5/14,31/05/2014,N/A,LNI,Lower North Island,491.88
1/5/14,31/05/2014,N/A,USI,Upper South Island,499.951
1/5/14,31/05/2014,N/A,LSI,Lower South Island,760.391
1/6/14,30/06/2014,N/A,UNI,Upper North Island,1021.842
1/6/14,30/06/2014,N/A,CNI,Central North Island,714.072
1/6/14,30/06/2014,N/A,LNI,Lower North Island,493.745
1/6/14,30/06/2014,N/A,USI,Upper South Island,508.037
1/6/14,30/06/2014,N/A,LSI,Lower South Island,724.984
1/7/14,31/07/2014,N/A,UNI,Upper North Island,1129.99
1/7/14,31/07/2014,N/A,CNI,Central North Island,766.369
1/7/14,31/07/2014,N/A,LNI,Lower North Island,550.922
1/7/14,31/07/2014,N/A,USI,Upper South Island,551.226
1/7/14,31/07/2014,N/A,LSI,Lower South Island,766.762
1/8/14,31/08/2014,N/A,UNI,Upper North Island,1102.344
1/8/14,31/08/2014,N/A,CNI,Central North Island,777.042
1/8/14,31/08/2014,N/A,LNI,Lower North Island,546.531
1/8/14,31/08/2014,N/A,USI,Upper South Island,535.176
1/8/14,31/08/2014,N/A,LSI,Lower South Island,772.208
1/9/14,30/09/2014,N/A,UNI,Upper North Island,1006.602
1/9/14,30/09/2014,N/A,CNI,Central North Island,715.357
1/9/14,30/09/2014,N/A,LNI,Lower North Island,484.801
1/9/14,30/09/2014,N/A,USI,Upper South Island,490.263
1/9/14,30/09/2014,N/A,LSI,Lower South Island,735.685
1/10/14,31/10/2014,N/A,UNI,Upper North Island,980.356
1/10/14,31/10/2014,N/A,CNI,Central North Island,719.405
1/10/14,31/10/2014,N/A,LNI,Lower North Island,467.589
1/10/14,31/10/2014,N/A,USI,Upper South Island,519.044
1/10/14,31/10/2014,N/A,LSI,Lower South Island,775.068
1/11/14,30/11/2014,N/A,UNI,Upper North Island,933.169
1/11/14,30/11/2014,N/A,CNI,Central North Island,673.486
1/11/14,30/11/2014,N/A,LNI,Lower North Island,437.395
1/11/14,30/11/2014,N/A,USI,Upper South Island,533.302
1/11/14,30/11/2014,N/A,LSI,Lower South Island,750.02
1/12/14,31/12/2014,N/A,UNI,Upper North Island,917.428
1/12/14,31/12/2014,N/A,CNI,Central North Island,675.089
1/12/14,31/12/2014,N/A,LNI,Lower North Island,427.194
1/12/14,31/12/2014,N/A,USI,Upper South Island,527.446
1/12/14,31/12/2014,N/A,LSI,Lower South Island,761.733
1/1/15,31/01/2015,N/A,UNI,Upper North Island,906.21
1/1/15,31/01/2015,N/A,CNI,Central North Island,682.266
1/1/15,31/01/2015,N/A,LNI,Lower North Island,419.559
1/1/15,31/01/2015,N/A,USI,Upper South Island,550.218
1/1/15,31/01/2015,N/A,LSI,Lower South Island,760.409
1/2/15,28/02/2015,N/A,UNI,Upper North Island,852.931
1/2/15,28/02/2015,N/A,CNI,Central North Island,622.974
1/2/15,28/02/2015,N/A,LNI,Lower North Island,392.991
1/2/15,28/02/2015,N/A,USI,Upper South Island,493.231
1/2/15,28/02/2015,N/A,LSI,Lower South Island,691.294
1/3/15,31/03/2015,N/A,UNI,Upper North Island,946.249
1/3/15,31/03/2015,N/A,CNI,Central North Island,695.299
